新ID,,,,ENE,,,正例,負例,代表的な定義語,普通名詞フラグ,ENE英語表記,定義文,Definition,属性定義の有無,,注意事項用メモ,
1,5,1,,,ＧＰＥ,,,,,,GPE,政府を持つ地域の名前。,A name of an administrative division which manage itself through its own government. GPE stands for Geological and Political Entity.,,,,
1,5,1,0,,ＧＰＥ,ＧＰＥ＿その他,"パレスチナ自治政府,  台湾,  プエルトリコ,  スパルタ（ギリシャ時代）,  香港,  大阪府・市,  仏領ポリネシア,  マカオ,  長州藩  ","  
欧州（→大陸地域名）

イングランド（→国名）

神奈川県第18区(選挙区 → 国内地域名)","植民地,  地域,  都市国家,  領邦,  ミクロネーション,  海外領土,  自治管区,  自治区,  伯領,  諸候国,  藩",,GPE_Other,ＧＰＥのうち、その下位のクラスに属さないもの。 例えば、都市国家、ポリス、植民地、海外領、特別自治区など。,"A name of an administrative division (1.5.1 GPE) that does not belong to any of the other subordinate categories (1.5.1.1 - 1.5.1.3).
Examples are a city state, polis, colony, overseas territory, special ward, etc.",1,,,
1,5,1,1,,,市区町村名,"月形（町）,  五箇（村）,  レッチワース,  ブランドン,  リオ・デ・ジャネイロ
横浜市,  目黒区,  精華町,  赤城村,  ニューヨーク・シティー,  神戸市灘区,  アストリア (オレゴン州),  旭川,  台北市（ＧＰＥ＿その他の下）

港区赤坂

永田町,  兜町,  丸の内,  グリニッジ・ヴィレッジ","首都(→ ＣＯＮＣＥＰＴ),  都市(→ ＣＯＮＣＥＰＴ)

バチカン市国(→国名)

神奈川県第18区(選挙区 → 国内地域名)

中壢県（ＧＰＥ＿その他の下→都道府県州郡名）

千葉・船橋両市(→ 国内地域名)","村,  コムーネ,  町,  都市,  地名,  町名,  市,  大字,  コミューン,  市街区,  自治体,  州都,  県庁所在地,  アムプー",,City,"都道府県州郡名より下の行政区分の名前。
例えば、地方自治の行政機能を持つ市区町村の名前、 （郵便住所に含まれる）市区町村以下の公的な地区名など。
選挙区は含まない。","A name of a municipality like a city, town or village as a local self-governing body. 
This includes a district smaller than a municipality and used in postal address. 
An electoral district is not included here, but in 1.5.2.2 Domestic_Region Category.",1,,,
1,5,1,2,,,都道府県州郡名,"群馬（県）,  カンザス,  ニューヨーク（州）,  熊本（県）
東京都,  北海道,  大阪府,  神奈川県,  ＮＹ州,  雲南省,  滋賀,  ニューサウスウェールズ州,  中壢県（ＧＰＥ＿その他の下）","府(→ ＣＯＮＣＥＰＴ),  県(→ ＣＯＮＣＥＰＴ)
台北市(ＧＰＥ＿その他の下→ 市区町村名)
山梨・長野両県(→ 国内地域名)","県,  郡,  州,  県級市,  自治県,  省,  令制国",,Province,"国のひとつ下の行政区分の名前。首長がおり、国によって下位に地方自治体を包含する。
例えば、都道府県、州、郡、省、道、カウンティなど。","A name of a first-level administrative division where a head is appointed and in some cases a local self-governing body is comprised. 
Examples are a prefecture, state, province, county, etc. ",1,,,
1,5,1,3,,,国名,"アラブ首長国連邦,  オーストラリア,  西サモア,  コートジボアール,  唐, 
日本,  アメリカ合衆国,  イングランド,  ソ連,  ロシア,  チェチェン,  モザンビーク,  北朝鮮,  アゼルバイジャン,

米,  仏,  韓,  日,  UK,  豪共和国

統一ドイツ,  旧ユーゴスラビア

ラーンサーン王朝(→国名および 政治的組織名＿その他),  秦朝(→国名および 政治的組織名＿その他)",台湾（→ＧＰＥ＿その他）,"国家,  王国,  国,  公国,  共和国",,Country,国の名前。,A name of a country.,1,,,
1,5,2,,,地域名,,,,,,Region,ある範囲の土地の名前。,A name of a region.,,,,
1,5,2,0,,地域名,地域名＿その他,"北極,  南極,  マリーバードランド   
ロシア語圏",,地域,1,Region_Other,地域のうち、その下位のクラスに属さないもの。,A name of a region (1.5.2 Region) that does not belong to any of the other subordinate categories (1.5.2.1 - 1.5.2.2).,,,,
1,5,2,1,,,大陸地域名,"北アフリカ,  ゴンドワナ大陸,  バビロニア,  陸半球
アジア,  ヨーロッパ,  カリブ地域,  東南アジア,  スカンディナビア,  旧ユーゴ地域,  アジア・オセアニア地区

旧英植民地,  バルト三国,  旧ユーゴ３国,  南太平洋非核地帯

北米,  欧州,  欧,  欧米,  東洋,  南半球,  北欧諸国","亜寒帯(→ ＣＯＮＣＥＰＴ)

マリーバードランド(南極の地域の名称 → 地域名＿その他) ","地域, 超大陸,  大陸,  地方",,Continental_Region,"国よりも大きな地域を差す名前。 
大陸を含む。","A name of a region larger than a country. 
This includes a continental area.",1,,,
1,5,2,2,,,国内地域名,"奥羽地方,  中部地方,  カルナティック,  ボスニア
関東,  北日本,  東海岸,  京浜工業地帯,  京阪奈,  信州,  東海,  スモーランド地方,  大阪湾ベイエリア

ロシア南部,  長野県北部,  シベリア,  北方領土,

北海道二区,  近畿・中国・四国地区

全国４７都道府県,  上信越高原国立公園,  山梨・長野両県,  千葉・船橋両市","大和路（→道路名）

４７都道府県（→場所数＿その他）

マンハッタン地区（→市区町村名）

タイムズスクエア（→地名＿その他）

上野公園地区（→地名＿その他）","選挙区,  地域,  地方,  都市圏,  荘園,  地方行政区,  ジオパーク",,Domestic_Region,"国の中の一部の地域で、自治体を持たず、かつ郵便住所として公式に 認められてない地域を差す名前。
地域と認められうる範囲を持つことが必要。 市よりも大きい地域を指す場合に用いる。市よりも小さい場合は「地名＿その他」に分類する。
 特定の地域の通称や荘園、選挙区を含む。 ","A name of a region inside a country that does not have its own government and is not used in postal address either.  The region should refer to an area with a certain range that is bigger than a city. The area small than a city is included in 1.5.0 Location_Other Category.  
This includes a popular name of a specific area, an electoral district, or a manor.",1,,,
1,5,3,,,地形名,,,,,,Geological_Region,地形の名前。,"A name of a geological region, which is an area of any size that can be separated from surrounding land on the basis of its shape.",,,,
